"date","unyo","bus_no"
"20260805","佐賀～福岡空港線①佐","2015"
"20260805","福岡空港-久留米線①京","2018"
"20260805","福岡～小倉線①北","2019"
"20260805","脇山線(38)早T","2035"
"20260805","香椎浜～天神線③ア","2664"
"20260805","門司 - 戸畑線①門","2711"
"20260805","春日原線①那","2725"
"20260805","渡辺通幹線②那","2774"
"20260805","門司 - 戸畑線③門","2832"
"20260805","門司駅～山田線②谷","2835"
"20260805","大里線①恒","2841"
"20260805","馬場山～大平線②香","2856"
"20260805","小嶺 - 戸畑・若松線②香","2857"
"20260805","恒見 - 小倉線⑲恒T","2861"
"20260805","福岡・福岡空港～佐世保線②博T","2885"
"20260805","門司駅～山田線①谷","2906"
"20260805","片江（城南）博多駅線①片","2925"
"20260805","福岡・福岡空港～日田線①日","1010"
"20260805","宇美線①宇","1043"
"20260805","小倉 - 黒崎・折尾線①幡","1050"
"20260805","門司 - 戸畑線②戸","1055"
"20260805","小倉～北九州空港線⑧北T","1076"
"20260805","小嶺 - 戸畑・若松線③香","1159"
"20260805","小倉 - 黒崎線①幡","1161"
"20260805","馬場山～大平線⑨香","1194"
"20260805","西新（城南）九大線①愛","1261"
"20260805","門司 - 戸畑線①戸","1276"
"20260805","福岡～小倉線③博","1333"
"20260805","西新（城南）九大線②も","1340"
"20260805","みどりヶ丘線(27)土T","1456"
"20260805","みどりヶ丘線③土","1821"
"20260805","小倉～北九州空港線①北","1912"
"20260805","那珂川フィーダー線②那","1914"
"20260805","志賀島島内線①ア","1925"
"20260805","恒見 - 小倉線①恒","4612"
"20260805","野間快速線⑧桧","3660"
"20260805","筑豊（特急）福岡線①高","4859"
"20260805","野間快速線①柏","4867"
"20260805","福岡～小倉線①博","3154"
"20260805","三軒屋線①武","3423"
"20260805","福岡～小倉線②北","3434"
"20260805","福岡～小倉線③北","3435"
"20260805","香椎浜～博多駅線⑪アT","5896"
"20260805","小倉（中原）戸畑線①弥","9014"
"20260805","久留米吉井線①吉","9053"
"20260805","屋形原線④那","9054"
"20260805","久留米 - 大牟田線①京","9220"
"20260805","小倉 - 黒崎・折尾線④小T","9226"
"20260805","黒崎・戸畑 - 砂津線①幡","9232"
"20260805","福島線①八","9269"
"20260805","屋形原線①那","9311"
"20260805","香椎浜～博多駅線③ア","9318"
"20260805","小倉 - 黒崎・折尾線②幡","9351"
"20260805","香椎線③ア","9437"
"20260805","須恵線④宇T","9508"
"20260805","那珂川フィーダー線⑫那","9846"
"20260805","小笹・小笹団地線①柏","9857"
"20260805","黒崎・戸畑 - 砂津線①小","9939"
"20260805","小倉 - 黒崎・折尾線⑤小T","5901"
"20260805","黒原 - 戸畑線①弥","5905"
"20260805","鞘ヶ谷 - 大谷池線①小","5906"
"20260805","小倉 - 黒崎・折尾線①小","5907"
"20260805","黒原 - 戸畑線②弥","5914"
"20260805","黒原 - 戸畑線⑧弥T","5915"
"20260805","多々良・八田線④土","5947"
"20260805","赤間（急行）福岡線②赤","6115"
"20260805","シーサイドももち線②愛","6121"
"20260805","志井線①谷","5766"
"20260805","門司 - 戸畑線②門","5769"
"20260805","赤間（急行）福岡線①赤","8017"
"20260805","野間～天神線⑩桧","8502"
"20260805","福岡～熊本線⑱高T","8048"
"20260805","那珂川フィーダー線⑥那","8103"
"20260805","大橋～福翔線①那","8109"
"20260805","佐賀～福岡線①佐","8220"
"20260805","福岡～長崎線①福","K2176"
"20260805","大野城市循環バス線③月","21"
"20260805","大野城市循環バス線①月","24"
"20260805","大野城市循環バス線②月","26"
"20260805","福岡BRT線②那","0104"
"20260805","☆恒見 - 小倉線①恒","0219"
"20260805","久留米 - 大牟田線③京","2002"
"20260805","久留米 - 大牟田線②京","2003"
"20260805","行橋～福岡線①行","2013"
"20260805","長住～天神線②桧","2033"
"20260805","早良（城南）博多駅⑦早","2036"
"20260805","宇美線③宇","2037"
"20260805","宇美線②宇","2038"
"20260805","南福岡線⑤宇T","2106"
"20260805","南福岡線④宇T","2107"
"20260805","春日原線②那","2108"
"20260805","春日原線③那","2109"
"20260805","直方～鞍手～遠賀線①直","2113"
"20260805","星ヶ丘線①原","2117"
"20260805","甘木幹線②杷","2130"
"20260805","沖新線①川","2264"
"20260805","森林都市線②赤","2270"
"20260805","星ヶ丘線②原","2271"
"20260805","直方～鞍手～遠賀線②直","2273"
"20260805","吉野線③牟","2277"
"20260805","黒原 - 戸畑線⑨弥T","2301"
"20260805","鳥栖 - 神埼線①鳥","2350"
"20260805","飯塚市内線⑤飯","2355"
"20260805","上山田線①飯","2356"
"20260805","甘木幹線③甘","2402"
"20260805","春日原線①月","2403"
"20260805","大橋～福翔線(37)那T","2404"
"20260805","那珂川フィーダー線⑰那T","2405"
"20260805","片江（長住）博多駅線③片","2410"
"20260805","竹下～長浜線①も","2412"
"20260805","竹下～長浜線②も","2413"
"20260805","野間～天神線②柏","2419"
"20260805","直方 ・ 黒崎線③直T","2422"
"20260805","碓井線①飯","2426"
"20260805","大善寺線①川","2429"
"20260805","久留米 - 鳥栖線①鳥","2430"
"20260805","二日市線④原","2431"
"20260805","頓野線①直","2434"
"20260805","筑豊（特急）福岡線③田","2505"
"20260805","二日市線③原","2509"
"20260805","天拝坂線①原T","2510"
"20260805","上官（大牟田）線①牟","2511"
"20260805","草野線①吉","2512"
"20260805","大谷線・大谷（大蔵）線①戸","2518"
"20260805","則松循環線①香","2519"
"20260805","鳴水（八幡駅）線①幡","2521"
"20260805","大谷線・大谷（大蔵）線②戸","2523"
"20260805","みどりヶ丘線⑦土","2534"
"20260805","多々良・八田線①土","2535"
"20260805","香椎線③舞","2601"
"20260805","香椎線①舞","2602"
"20260805","板付団地線⑤竹","2605"
"20260805","南福岡線②宇","2609"
"20260805","宇美線⑫宇","2610"
"20260805","小倉 (井堀) 戸畑線①小","2612"
"20260805","恒見 - 小倉線(22)恒T","2613"
"20260805","赤間（急行）福岡線⑪赤T","2660"
"20260805","桧原（小笹）博多駅線①も","2662"
"20260805","小笹・小笹団地線②柏","2663"
"20260805","赤間（普通）線①高","2665"
"20260805","大橋～福翔線⑭那","2666"
"20260805","甘木（都市高速）博多駅線⑮甘T","2667"
"20260805","竹下～長浜線②竹","2676"
"20260805","姪浜フィーダー線①壱","2677"
"20260805","大橋～福翔線⑨那","2681"
"20260805","大橋～福翔線⑩那","2682"
"20260805","大橋～福翔線⑪那","2684"
"20260805","恒見 - 小倉線⑧恒","2688"
"20260805","飯塚 - 大隈線②飯","2689"
"20260805","神埼線②御","2701"
"20260805","霧丘 - 小倉駅線①小","2710"
"20260805","門司 - 戸畑線⑪門","2712"
"20260805","志井線④谷","2713"
"20260805","小嶺 - 戸畑・若松線③戸","2718"
"20260805","蒲生線①谷","2719"
"20260805","油山線⑳片T","2722"
"20260805","金武線②武","2727"
"20260805","シーサイドももち線⑳愛","2728"
"20260805","西新（城南）九大線②愛","2731"
"20260805","屋形原線⑩那","2735"
"20260805","屋形原線⑤那","2736"
"20260805","屋形原線⑥那","2738"
"20260805","桧原（城南）博多駅線④桧","2741"
"20260805","則松循環線③香","2746"
"20260805","小嶺 - 戸畑・若松線①戸","2750"
"20260805","小嶺 - 戸畑・若松線②戸","2754"
"20260805","門司 - 戸畑線⑦門","2757"
"20260805","門司 - 戸畑線(27)門T","2759"
"20260805","黒原 - 戸畑線②戸","2761"
"20260805","黒原 - 戸畑線⑤戸","2762"
"20260805","黒原 - 戸畑線①戸","2764"
"20260805","小倉 (井堀) 戸畑線①戸","2765"
"20260805","渡辺通幹線①も","2771"
"20260805","渡辺通幹線③も","2772"
"20260805","屋形原線②那","2776"
"20260805","渡辺通幹線③那","2779"
"20260805","渡辺通幹線⑫那T","2781"
"20260805","渡辺通幹線⑨那","2783"
"20260805","渡辺通幹線④那","2788"
"20260805","野間～天神線①桧","2794"
"20260805","大牟田市内線⑤牟T","2798"
"20260805","飯塚 - 大隈線①飯","2802"
"20260805","大牟田市内線①牟","2810"
"20260805","羽犬塚線①川","2813"
"20260805","門司 - 戸畑線⑤門","2834"
"20260805","志井線⑧谷","2836"
"20260805","大里線④恒","2844"
"20260805","大谷線・大谷（大蔵）線④戸","2845"
"20260805","西団地 - 萩原線①幡","2850"
"20260805","小嶺 - 戸畑・若松線⑤香","2854"
"20260805","馬場山～大平線③香","2855"
"20260805","古賀市内線①舞","2871"
"20260805","古賀市内線②舞","2872"
"20260805","小竹・天道線①飯","2874"
"20260805","福重（都市高速）線②壱","2876"
"20260805","門司駅～山田線⑤谷","2907"
"20260805","門司駅～山田線③谷","2911"
"20260805","油山線④片","2916"
"20260805","板付線②竹","2920"
"20260805","板付団地線①竹","2921"
"20260805","片江（長住）博多駅線⑨片T","2926"
"20260805","大橋～福翔線⑥那","2929"
"20260805","春日～大橋線①那","2932"
"20260805","黒崎・戸畑 - 砂津線③幡","2940"
"20260805","中間線①香","2944"
"20260805","古賀市内線③舞","2958"
"20260805","飯塚市内線④飯","2961"
"20260805","門司港ローカル線②門","2967"
"20260805","則松循環線②香","2970"
"20260805","大里線②恒","2972"
"20260805","福岡～熊本線①高","2974"
"20260805","福岡～熊本線③高","2975"
"20260805","大谷線・大谷（大蔵）線③戸","2977"
"20260805","今町・若園線①谷","2979"
"20260805","今町・若園線③谷","2980"
"20260805","今町・若園線④谷","2981"
"20260805","大里線③恒","2983"
"20260805","油山（快速）博多駅線①片","1024"
"20260805","志賀島線①ア","1039"
"20260805","四王寺坂線①宇","1040"
"20260805","四王寺坂線④宇","1044"
"20260805","小倉（中原）戸畑線④小T","1051"
"20260805","門司 - 戸畑線④戸","1071"
"20260805","恒見 - 小倉線⑨恒","1072"
"20260805","折尾 - 小嶺線②香","1073"
"20260805","小倉～北九州空港線②北","1079"
"20260805","福岡～熊本線②高","1082"
"20260805","脇山線③早","1084"
"20260805","昭代（城南）博多駅線①も","1087"
"20260805","宇美線⑭宇","1088"
"20260805","宇美線⑰宇","1089"
"20260805","板付線①竹","1091"
"20260805","小笹～天神線①柏","1098"
"20260805","香椎浜～博多駅線⑦ア","1099"
"20260805","志賀島線⑥ア","1100"
"20260805","シーサイドももち線⑧愛","1102"
"20260805","シーサイドももち線⑪愛","1103"
"20260805","小倉（中原）戸畑線④戸","1104"
"20260805","折尾 - 小嶺線①香","1107"
"20260805","小倉 - 黒崎線⑥小T","1108"
"20260805","小倉 - 黒崎線②幡","1110"
"20260805","恒見 - 小倉線⑬恒","1112"
"20260805","佐賀～福岡線①博","1121"
"20260805","福岡～小倉線⑥博T","1122"
"20260805","福岡・福岡空港～日田線③日","1126"
"20260805","金武線①塚","1131"
"20260805","アイランドシティ～千早線①ア","1132"
"20260805","志賀島線③ア","1138"
"20260805","甘木（都市高速）博多駅線③甘","1141"
"20260805","門司 - 戸畑線③戸","1157"
"20260805","志井線⑤谷","1163"
"20260805","志井線⑩谷","1164"
"20260805","行橋～福岡線②行","1185"
"20260805","長野 - 小倉線①弥","1189"
"20260805","馬場山～大平線①香","1192"
"20260805","門司 - 戸畑線⑤戸","1195"
"20260805","恒見 - 小倉線⑦恒","1196"
"20260805","霧丘 - 小倉駅線②小","1237"
"20260805","門司港ローカル線①門","1239"
"20260805","恒見 - 小倉線(21)恒T","1240"
"20260805","小倉 - 黒崎・折尾線⑤幡","1241"
"20260805","今町・若園線②谷","1245"
"20260805","佐賀～福岡線③佐","1248"
"20260805","渡辺通幹線①那","1255"
"20260805","シーサイドももち線(33)愛T","1260"
"20260805","シーサイドももち線⑫愛","1262"
"20260805","タワー（天神）貝塚線①も","1266"
"20260805","油山線①片","1267"
"20260805","早良（城南）博多駅②早","1272"
"20260805","黒原 - 戸畑線②小","1277"
"20260805","恒見 - 小倉線②恒","1279"
"20260805","大橋～福翔線②那","1297"
"20260805","香椎浜～天神線②ア","1298"
"20260805","志賀島線②ア","1299"
"20260805","恒見 - 小倉線⑥恒","1308"
"20260805","野間快速線①桧","1339"
"20260805","大橋～福翔線③那","1345"
"20260805","大橋～福翔線⑤那","1348"
"20260805","小倉 - 黒崎線⑤小T","1353"
"20260805","貫 (都市高速) 小倉線①弥","1354"
"20260805","福重（都市高速）線①壱","1444"
"20260805","野方（都市高速）博多線⑦壱","1446"
"20260805","野方（都市高速）博多線②壱","1447"
"20260805","荒江線①早","1451"
"20260805","竹下～長浜線③も","1454"
"20260805","福大線③片","1801"
"20260805","油山線③片","1802"
"20260805","宇美線④宇","1803"
"20260805","宇美線⑩宇","1805"
"20260805","板付団地線③竹","1811"
"20260805","板付団地線⑨竹T","1812"
"20260805","昭代～天神線①愛","1816"
"20260805","シーサイドももち線①愛","1818"
"20260805","みどりヶ丘線①土","1819"
"20260805","みどりヶ丘線②土","1820"
"20260805","多々良・八田線②土","1822"
"20260805","多々良・八田線③土","1823"
"20260805","貫 (都市高速) 小倉線③弥","1826"
"20260805","福岡・福岡空港～佐世保線④博T","1908"
"20260805","若宮線①御","1909"
"20260805","那珂川フィーダー線⑨那","1915"
"20260805","脇山線①博","1921"
"20260805","脇山線②博","1922"
"20260805","脇山線②早","4605"
"20260805","福大線⑤片","4608"
"20260805","門司 - 戸畑線①恒","4611"
"20260805","恒見(都市高速)小倉線①恒","4613"
"20260805","新八田線①土","3633"
"20260805","空港循環線①宇","3640"
"20260805","宇美線⑤宇","3641"
"20260805","香椎浜～博多駅線⑤ア","3643"
"20260805","香椎浜～天神線①ア","3644"
"20260805","赤間（普通）線②高","3647"
"20260805","脇山線⑨早","3650"
"20260805","三軒屋線⑤武","3654"
"20260805","渡辺通幹線①高","3657"
"20260805","片江（長住）博多駅線①片","3662"
"20260805","小倉 - 黒崎・折尾線①香","3666"
"20260805","福岡・福岡空港～別府線①亀","3669"
"20260805","筑豊（特急）福岡線⑥田","4704"
"20260805","筑豊（特急）福岡線②田","4705"
"20260805","筑豊（特急）福岡線①飯","4706"
"20260805","筑豊（特急）福岡線②飯","4720"
"20260805","筑豊（特急）福岡線⑨田","4722"
"20260805","福岡～小倉線⑤北","4726"
"20260805","三軒屋線②武","4832"
"20260805","金武（城南）博多駅線②武","4833"
"20260805","須恵線②宇","4844"
"20260805","空港循環線⑤宇T","4845"
"20260805","香椎浜～博多駅線①ア","4863"
"20260805","香椎線②ア","4864"
"20260805","アイランドシティ～千早線④ア","4865"
"20260805","志賀島線④ア","4866"
"20260805","香椎浜～博多駅線②ア","4868"
"20260805","小笹・小笹団地線⑭柏","4871"
"20260805","福岡～小倉線④博","4906"
"20260805","早良（城南）博多駅③早","4913"
"20260805","早良（城南）博多駅①早","4915"
"20260805","宇美線⑧宇","4922"
"20260805","小笹・小笹団地線⑤柏","4926"
"20260805","野間（城南）博多駅線⑧桧T","4927"
"20260805","野間～天神線④桧","4931"
"20260805","片江（長住）博多駅線②片","4941"
"20260805","福岡～小倉線⑦博T","3016"
"20260805","福岡～小倉線④北","3019"
"20260805","福岡～小倉線⑦北","3020"
"20260805","福岡～小倉線⑧北","3021"
"20260805","小笹・小笹団地線⑩柏","3035"
"20260805","野間～天神線⑥桧","3036"
"20260805","桧原（城南）博多駅線③桧","3037"
"20260805","赤間（急行）福岡線③赤","3052"
"20260805","野間～天神線①柏","3058"
"20260805","小笹・小笹団地線⑰柏","3059"
"20260805","脇山線⑮早","3062"
"20260805","志賀島線⑦ア","3063"
"20260805","宇美線⑪宇","3065"
"20260805","姪浜フィーダー線①武","3069"
"20260805","金武線⑦武","3126"
"20260805","福岡～熊本線⑤高","3148"
"20260805","筑豊（特急）福岡線⑤田","3201"
"20260805","野間快速線②柏","3208"
"20260805","博多駅～西新線①塚","3210"
"20260805","香椎浜～天神線⑭アT","3212"
"20260805","タワー（天神）貝塚線②塚","3221"
"20260805","桧原（城南）博多駅線②桧","3224"
"20260805","油山線①桧","3240"
"20260805","油山（快速）博多駅線②片","3270"
"20260805","小笹・小笹団地線①桧","3271"
"20260805","福岡・福岡空港～佐世保線③博T","3279"
"20260805","福岡・福岡空港～佐世保線⑤博T","3284"
"20260805","福岡～小倉線⑩北","3331"
"20260805","福岡～熊本線(22)高T","3341"
"20260805","福岡～熊本線(21)高T","3344"
"20260805","福岡～熊本線⑲高T","3347"
"20260805","福岡～大分線①高","3350"
"20260805","金武線④武","3420"
"20260805","三軒屋線④武","3421"
"20260805","野間快速線②桧","3425"
"20260805","宇美線⑥宇","3430"
"20260805","福岡～小倉線⑥北","3439"
"20260805","野間快速線④桧","3701"
"20260805","金武線②塚","3702"
"20260805","野方（都市高速）博多線②塚","3703"
"20260805","小倉（中原）戸畑線②戸","5829"
"20260805","大川線①土","5839"
"20260805","篠栗線（篠）②土","5841"
"20260805","篠栗線（篠）①土","5843"
"20260805","二日市線②原","5850"
"20260805","久留米吉井線④吉","5859"
"20260805","久留米吉井線⑩吉","5861"
"20260805","香椎浜～天神線④ア","5871"
"20260805","博多駅～西新線①博","5872"
"20260805","飯塚市内線⑩飯T","5878"
"20260805","飯塚市内線⑥飯","5882"
"20260805","飯塚市内線①飯","5883"
"20260805","甘木（都市高速）博多駅線①甘","5886"
"20260805","昭代（城南）博多駅線②も","5898"
"20260805","津屋崎～福間線③赤","9007"
"20260805","志井線②谷","9011"
"20260805","貫 - 小倉線①弥","9015"
"20260805","志井線③谷","9018"
"20260805","小嶺 - 戸畑・若松線①香","9022"
"20260805","志井線⑥谷","9024"
"20260805","門司 - 戸畑線④門","9028"
"20260805","久留米吉井線②吉","9057"
"20260805","南ヶ丘線②月","9059"
"20260805","南ヶ丘線③月","9060"
"20260805","南ヶ丘線①月","9061"
"20260805","甘木幹線④甘","9064"
"20260805","金武（城南）博多駅線③武","9065"
"20260805","脇山線④早","9067"
"20260805","長住～博多駅線①桧","9076"
"20260805","福大線④片","9079"
"20260805","飯塚市内線②飯","9084"
"20260805","福大線①片","9087"
"20260805","小嶺 - 戸畑・若松線④香","9089"
"20260805","馬場山～大平線⑫香T","9090"
"20260805","那珂川フィーダー線⑳那T","9091"
"20260805","片江（城南）博多駅線③片","9093"
"20260805","久留米市内線①京","9101"
"20260805","赤間（普通）線③赤","9118"
"20260805","森林都市線④赤","9121"
"20260805","荒江線②早","9123"
"20260805","神埼線①鳥","9136"
"20260805","姪浜フィーダー線②壱","9137"
"20260805","竹下～長浜線①竹","9138"
"20260805","諸岡線⑧竹","9139"
"20260805","諸岡線(24)竹T","9140"
"20260805","福島線②八","9141"
"20260805","野間～天神線⑤柏","9205"
"20260805","四王寺坂線②宇","9206"
"20260805","篠栗線（篠）③土","9216"
"20260805","小倉 - 黒崎・折尾線④幡","9221"
"20260805","黒原 - 戸畑線①小","9222"
"20260805","小倉 - 黒崎・折尾線③小","9223"
"20260805","小倉 - 黒崎・折尾線⑮幡T","9227"
"20260805","黒崎・戸畑 - 砂津線②幡","9231"
"20260805","小倉 - 黒崎線④幡","9235"
"20260805","脇山線⑤早","9266"
"20260805","久留米市内線②御","9270"
"20260805","神埼線①佐","9277"
"20260805","久留米 - 大牟田線④京","9287"
"20260805","甘木幹線①甘","9297"
"20260805","脇山線⑧早","9300"
"20260805","屋形原線⑨那","9303"
"20260805","竹下～長浜線④も","9309"
"20260805","茶山線①片","9310"
"20260805","春日原線③月","9312"
"20260805","昭代（城南）博多駅線①塚","9317"
"20260805","久留米吉井線⑤吉","9319"
"20260805","多々良・八田線⑥土","9322"
"20260805","グリーンランド線①牟","9325"
"20260805","福島線⑩八","9332"
"20260805","小笹～天神線①片","9334"
"20260805","四王寺坂線③宇","9338"
"20260805","久留米吉井線③吉","9340"
"20260805","久留米市内線①御","9341"
"20260805","久留米吉井線⑥吉","9344"
"20260805","佐賀 - 柳川線①川","9345"
"20260805","福島線⑥八","9347"
"20260805","小倉 - 黒崎・折尾線⑯幡T","9350"
"20260805","小倉 - 黒崎・折尾線⑥小T","9353"
"20260805","野方（都市高速）博多線③壱","9368"
"20260805","神埼線①御","9369"
"20260805","小倉 - 黒崎・折尾線⑦幡","9413"
"20260805","福島線④八","9429"
"20260805","佐賀 - 柳川線②川","9430"
"20260805","春日～大橋線②那","9432"
"20260805","小倉 - 黒崎・折尾線⑭幡T","9433"
"20260805","脇山線①早","9450"
"20260805","小倉 - 黒崎線④小T","9451"
"20260805","小倉 - 黒崎線⑥幡","9454"
"20260805","アイランドシティ～千早線②ア","9458"
"20260805","桧原（小笹）博多駅線①桧","9459"
"20260805","赤間（普通）線①赤","9467"
"20260805","森林都市線①赤","9468"
"20260805","茶山線②片","9473"
"20260805","志井線⑦谷","9477"
"20260805","諸岡線⑩竹","9478"
"20260805","小倉 - 黒崎線②小","9489"
"20260805","小倉 - 黒崎・折尾線③幡","9492"
"20260805","福大線②片","9496"
"20260805","金武（城南）博多駅線①武","9497"
"20260805","屋形原線⑦那","9499"
"20260805","金武線②壱","9501"
"20260805","須恵線①宇","9505"
"20260805","つつじヶ丘線②月","9507"
"20260805","多々良・八田線⑤土","9514"
"20260805","みどりヶ丘線⑬土","9515"
"20260805","甘木幹線②甘","9516"
"20260805","香椎線①ア","9520"
"20260805","香椎浜～博多駅線④ア","9522"
"20260805","博多駅～西新線④博","9613"
"20260805","諸岡線⑥竹","9639"
"20260805","小笹・小笹団地線④柏","9645"
"20260805","国分線③御","9653"
"20260805","野間～天神線③柏","9655"
"20260805","福島線⑤八","9657"
"20260805","シーサイドももち線⑦愛","9664"
"20260805","諸岡線③竹","9670"
"20260805","野方（都市高速）博多線⑥壱","9671"
"20260805","福重（都市高速）線(22)壱T","9672"
"20260805","福重（都市高速）線④壱","9674"
"20260805","姪浜フィーダー線④壱","9675"
"20260805","西新（城南）九大線①塚","9679"
"20260805","大橋～福翔線(38)那T","9681"
"20260805","諸岡線⑤竹","9685"
"20260805","馬場山～大平線④香","9722"
"20260805","恒見 - 小倉線⑳恒T","9724"
"20260805","屋形原線⑧那","9803"
"20260805","坂瀬線①宇","9808"
"20260805","新八田線②土","9816"
"20260805","佐賀 - 柳川線③川","9819"
"20260805","坂瀬線②宇","9827"
"20260805","西新（城南）九大線③塚","9830"
"20260805","西新（城南）九大線②塚","9836"
"20260805","南ヶ丘線④月","9837"
"20260805","野方（都市高速）博多線①壱","9839"
"20260805","屋形原線⑫那","9841"
"20260805","諸岡線①竹","9844"
