"date","unyo","bus_no"
"20260417","門司 - 戸畑線①門","2711"
"20260417","門司駅～山田線③恒T","2861"
"20260417","門司駅～山田線①谷","2906"
"20260417","那珂川フィーダー線②那","2963"
"20260417","小倉 - 黒崎・折尾線①幡","1050"
"20260417","門司 - 戸畑線③戸","1157"
"20260417","小倉 - 黒崎線①幡","1161"
"20260417","小倉～北九州空港線①北","1187"
"20260417","長野 - 小倉線①弥","1189"
"20260417","渡辺通幹線⑪那T","1254"
"20260417","渡辺通幹線①那","1255"
"20260417","門司 - 戸畑線①戸","1276"
"20260417","宇美線③宇","1803"
"20260417","小倉～北九州空港線⑥北T","1912"
"20260417","恒見 - 小倉線①恒","4612"
"20260417","福岡・福岡空港～日田線①日","4876"
"20260417","福岡～鹿児島線①高T","3150"
"20260417","福岡・福岡空港～佐世保線②博T","3279"
"20260417","久留米吉井線①吉","5861"
"20260417","小倉 - 黒崎・折尾線⑦小T","9226"
"20260417","黒崎・戸畑 - 砂津線①幡","9232"
"20260417","屋形原線①那","9311"
"20260417","香椎線①ア","9324"
"20260417","小倉 - 黒崎・折尾線②幡","9351"
"20260417","諸岡線①竹","9844"
"20260417","小倉（中原）戸畑線③小T","9894"
"20260417","志井線⑭谷","5766"
"20260417","門司 - 戸畑線②門","5769"
"20260417","福岡～熊本線③高T","7610"
"20260417","福岡～小倉①北","8021"
"20260417","大橋～福翔線①那","8109"
"20260417","佐賀～福岡線①佐","8314"
