"date","unyo","bus_no"
"20260828","山路・猪倉線②小T","0352"
"20260828","戸畑循環線①タ","371"
"20260828","長丘・高宮線②桧","375"
"20260828","長丘・高宮線①桧","376"
"20260828","大野城市循環バス線⑤月","22"
"20260828","大野城市循環バス線②月","23"
"20260828","大野城市循環バス線①月","24"
"20260828","大野城市循環バス線⑥月","25"
"20260828","大野城市循環バス線④月","027"
"20260828","福岡BRT線①愛","0101"
"20260828","福岡BRT線②那","0104"
"20260828","福岡BRT線③那","0105"
"20260828","福岡BRT線①那","0107"
"20260828","福岡・福岡空港～日田線⑥H","402"
"20260828","福岡・福岡空港～日田線⑤H","404"
"20260828","福岡・福岡空港～湯布院線②H","406"
"20260828","福岡・福岡空港～日田線⑧H","420"
"20260828","福岡・福岡空港～日田線③H","423"
"20260828","福岡・福岡空港～黒川温泉線①H","424"
"20260828","福岡・福岡空港～湯布院線①H","426"
"20260828","☆小倉 - 黒崎・折尾線①小","0202"
"20260828","☆小倉 - 黒崎・折尾線②小","0203"
"20260828","福岡BRT線①ア","0205"
"20260828","福岡BRT線③ア","0206"
"20260828","福岡BRT線②ア","0208"
"20260828","☆小倉 - 黒崎・折尾線③小","0209"
"20260828","☆小倉 - 黒崎・折尾線②幡","0212"
"20260828","☆小倉 - 黒崎・折尾線①幡","0218"
"20260828","☆恒見 - 小倉線①恒","0219"
"20260828","☆恒見 - 小倉線②恒","0220"
"20260828","☆恒見 - 小倉線③恒","0221"
"20260828","久留米 - 大牟田線②京","2003"
"20260828","竹下～長浜線⑩もT","2005"
"20260828","甘木幹線①杷","2010"
"20260828","行橋～福岡線①行","2013"
"20260828","行橋～福岡線④行","2014"
"20260828","佐賀～福岡空港線①佐","2015"
"20260828","佐賀～福岡空港線⑤佐T","2016"
"20260828","福岡空港-久留米線③京","2017"
"20260828","福岡空港-久留米線①京","2018"
"20260828","福岡～小倉線①北","2019"
"20260828","福岡～小倉線⑱北","2020"
"20260828","福岡・福岡空港～佐世保線⑦博T","2025"
"20260828","福岡～大分線②高","2028"
"20260828","福岡～大分線⑦高T","2029"
"20260828","長住～天神線③桧","2033"
"20260828","脇山線(36)早","2034"
"20260828","早良（城南）博多駅⑦早","2036"
"20260828","宇美線③宇","2037"
"20260828","宇美線②宇","2038"
"20260828","宇美線(23)宇T","2040"
"20260828","南福岡線④宇T","2107"
"20260828","春日原線①那","2108"
"20260828","那珂川フィーダー線⑤那","2110"
"20260828","諸岡線⑬竹","2112"
"20260828","星ヶ丘線②原","2117"
