"date","unyo","bus_no"
"20260809","小倉～北九州空港線①北","1078"
"20260809","香椎線①ア","2408"
"20260809","香椎線⑨舞T","2673"
"20260809","門司 - 戸畑線①門","2832"
"20260809","小倉～北九州空港線②北","1076"
"20260809","小倉 - 黒崎・折尾線①幡","1241"
"20260809","恒見 - 小倉線①恒","4612"
"20260809","福岡～熊本線(21)高T","3044"
"20260809","福岡・福岡空港～日田線①日","3140"
"20260809","福岡・福岡空港～佐世保線①博","3251"
"20260809","屋形原線①那","9054"
"20260809","早良（城南）博多駅①早","8116"
"20260809","佐賀～福岡空港線①佐","2015"
"20260809","福岡空港-久留米線①京","2018"
"20260809","宇美線①宇","2037"
"20260809","宇美線②宇","2038"
"20260809","春日原線①那","2109"
"20260809","香椎線③ア","2743"
"20260809","那珂川フィーダー線①那","2786"
"20260809","福大線①片","2831"
"20260809","門司 - 戸畑線②門","2834"
"20260809","馬場山～大平線⑥香","2856"
"20260809","小倉 - 黒崎・折尾線②幡","1050"
"20260809","門司 - 戸畑線①戸","1157"
"20260809","門司駅～山田線①谷","1164"
"20260809","門司 - 戸畑線③戸","1276"
"20260809","金武線①武","4833"
"20260809","志賀島線①ア","4864"
"20260809","屋形原線(24)那T","9263"
"20260809","小倉 - 黒崎線①幡","9454"
"20260809","屋形原線④那","9872"
"20260809","門司 - 戸畑線①恒","9958"
"20260809","諸岡線①竹","5977"
"20260809","黒原 - 戸畑線①小","6214"
"20260809","門司 - 戸畑線③門","5769"
"20260809","福岡～熊本線⑱高T","7612"
"20260809","大橋～福翔線①那","8028"
"20260809","大橋～福翔線④那","8111"
"20260809","小笹・小笹団地線②柏","8114"
"20260809","佐賀～福岡線①佐","8220"
"20260809","福岡空港-久留米線②京","8438"
"20260809","福岡～長崎線①長","K2196"
