"date","unyo","bus_no"
"20260808","甘木幹線①杷","2010"
"20260808","香椎線⑨舞T","2673"
"20260808","大橋?福翔線⑱那","2786"
"20260808","小倉～北九州空港線①北","1076"
"20260808","小倉～北九州空港線⑧北T","1188"
"20260808","蒲生線②谷","1191"
"20260808","福岡?熊本線(22)高T","3043"
"20260808","赤間（普通）線①高","3274"
"20260808","馬場山～大平線②香","9952"
"20260808","黒原 - 戸畑線①弥","9955"
"20260808","門司 - 戸畑線③門","5769"
"20260808","門司 - 戸畑線(28)門T","7741"
"20260808","福岡・福岡空港?日田線①日","7910"
"20260808","佐賀?福岡空港線①佐","2015"
"20260808","福岡空港-久留米線①京","2018"
"20260808","宇美線①宇","2037"
"20260808","宇美線③宇","2039"
"20260808","春日原線①月","2403"
"20260808","大谷線・大谷（大蔵）線⑥戸T","2518"
"20260808","恒見 - 小倉線⑥恒","2613"
"20260808","恒見 - 小倉線①恒","2688"
"20260808","門司駅～山田線①谷","2713"
"20260808","香椎線⑤ア","2743"
"20260808","森林都市線①赤","2799"
"20260808","門司 - 戸畑線①門","2832"
"20260808","門司 - 戸畑線②門","2834"
"20260808","馬場山～大平線⑫香T","2856"
"20260808","三軒屋線①武","2880"
"20260808","片江（城南）博多駅線①片","1023"
"20260808","金武線①塚","1093"
"20260808","門司 - 戸畑線①戸","1157"
"20260808","馬場山～大平線①香","1194"
"20260808","小倉 - 黒崎線①小","1237"
"20260808","小倉 - 黒崎・折尾線②幡","1241"
"20260808","門司 - 戸畑線②戸","1276"
"20260808","野間～天神線②桧","1339"
"20260808","大橋?福翔線⑭那","1346"
"20260808","大橋?福翔線⑰那","1347"
"20260808","朽網?北九州空港線①弥","1356"
"20260808","香椎浜～博多駅線①ア","1815"
"20260808","早良（城南）博多駅③早","3651"
"20260808","小嶺 - 戸畑・若松線①香","3667"
"20260808","筑豊（特急）福岡線②高","4860"
"20260808","香椎線①ア","4863"
"20260808","小笹・小笹団地線⑩柏","4871"
"20260808","博多駅?西新線①塚","4937"
"20260808","小笹・小笹団地線②桧","3211"
"20260808","小笹・小笹団地線①桧","3273"
"20260808","福岡・福岡空港～佐世保線①博","3284"
"20260808","金武線①武","3423"
"20260808","福岡?小倉線①北","3434"
"20260808","福岡?小倉線③北","3439"
"20260808","大川線①土","5839"
"20260808","篠栗線（篠）①土","5843"
"20260808","甘木幹線①甘","5886"
"20260808","昭代?天神線①愛","9001"
"20260808","春日原線①那","9030"
"20260808","屋形原線②那","9031"
"20260808","久留米吉井線①吉","9057"
"20260808","那珂川フィーダー線②那","9126"
"20260808","諸岡線①竹","9139"
"20260808","福島線①八","9141"
"20260808","福島線②八","9143"
"20260808","小倉 (井堀) 戸畑線②小","9223"
"20260808","小倉 - 黒崎・折尾線①小","9226"
"20260808","黒崎・戸畑 - 砂津線①幡","9232"
"20260808","志井線③谷","9240"
"20260808","春日?大橋線①月","9312"
"20260808","小倉 - 黒崎・折尾線③幡","9414"
"20260808","シーサイドももち線⑩愛","9483"
"20260808","小倉 - 黒崎・折尾線①幡","9491"
