"date","unyo","bus_no"
"20260403","那珂川フィーダー線⑥那","2110"
"20260403","小嶺 - 戸畑・若松線①戸","2524"
"20260403","福岡～熊本線⑥高T","2768"
"20260403","門司駅～山田線③恒T","2861"
"20260403","小倉 - 黒崎・折尾線①幡","1050"
"20260403","佐賀～福岡空港線①佐","1121"
"20260403","小倉～北九州空港線①北","1188"
"20260403","門司 - 戸畑線①戸","1276"
"20260403","門司 - 戸畑線①門","1307"
"20260403","福岡空港-久留米線①京","1331"
"20260403","福岡～鹿児島線①高T","1336"
"20260403","貫 (都市高速) 小倉線①弥","1354"
"20260403","福岡・福岡空港～日田線①日","3140"
"20260403","福岡・福岡空港～佐世保線②博T","3282"
"20260403","片江（城南）博多駅線①片","9008"
"20260403","久留米吉井線①吉","9506"
"20260403","諸岡線①竹","9844"
"20260403","福岡～熊本線⑤高T","6103"
"20260403","那珂川フィーダー線③那","5689"
"20260403","門司 - 戸畑線⑪門","8506"
"20260403","那珂川フィーダー線①那","7715"
"20260403","大橋～福翔線④那","8111"
"20260403","大野城市循環バス線①月","26"
"20260403","春日原線①月","2403"
"20260403","大橋～福翔線⑥那","2405"
"20260403","香椎線③ア","2408"
"20260403","長住～博多駅線①桧","2421"
"20260403","直方 ・ 黒崎線③直T","2422"
"20260403","赤間（急行）福岡線②赤","2504"
"20260403","則松循環線①香","2519"
"20260403","志賀島線①ア","2664"
"20260403","昭代～天神線①壱","2677"
"20260403","飯塚 - 大隈線①小","2710"
"20260403","長野 - 小倉線①弥","2717"
"20260403","片江（長住）博多駅線②片","2723"
"20260403","シーサイドももち線①愛","2731"
"20260403","大谷線・大谷（大蔵）線②戸","2751"
"20260403","黒原 - 戸畑線②戸","2761"
"20260403","黒原 - 戸畑線①戸","2764"
"20260403","渡辺通幹線③那","2788"
"20260403","飯塚 - 大隈線①飯","2805"
"20260403","門司駅～山田線②谷","2835"
"20260403","馬場山～大平線⑪香T","2856"
"20260403","小嶺 - 戸畑・若松線②香","2857"
"20260403","門司駅～山田線①谷","2906"
"20260403","西団地 - 萩原線①幡","2914"
"20260403","那珂川フィーダー線⑱那T","2931"
"20260403","那珂川フィーダー線②那","2963"
"20260403","福岡・福岡空港～佐世保線④博T","2976"
"20260403","宇美線①宇","1043"
"20260403","門司 - 戸畑線②戸","1055"
"20260403","野間～天神線③柏","1098"
"20260403","恒見 - 小倉線⑭恒","1158"
"20260403","大里線①恒","1190"
"20260403","馬場山～大平線①香","1192"
"20260403","馬場山～大平線⑧香","1194"
"20260403","門司港ローカル線①門","1239"
"20260403","野間快速線①桧","1251"
"20260403","渡辺通幹線⑪那T","1254"
"20260403","渡辺通幹線①那","1255"
"20260403","渡辺通幹線⑧那","1256"
"20260403","西新（城南）九大線①愛","1261"
"20260403","タワー（天神）貝塚線①も","1266"
"20260403","油山線①片","1267"
"20260403","恒見 - 小倉線②恒","1308"
"20260403","福岡～宮崎線②高T","1337"
"20260403","大橋～福翔線③那","1345"
"20260403","小倉 - 黒崎・折尾線①小","1351"
"20260403","みどりヶ丘線①土","1819"
"20260403","みどりヶ丘線②土","1820"
